,Libellé de la commune,latitude,longitude
155,Gex,46.3324378,6.0588831
156,Giron,46.2248289,5.7729124
157,Gorrevod,46.4185,4.94
158,Grand-Corent,46.2014,5.43159
159,Grièges,46.2561,4.85219
160,Grilly,46.3294,6.11394
161,Groissiat,46.2237901,5.6139336
162,Guéreins,46.1073691,4.7804287
163,Hautecourt-Romanèche,NaN,NaN
164,Hauteville-Lompnes,45.9769238,5.600403
165,Hostiaz,45.9020215,5.5346165
166,Haut Valromey,NaN,NaN
167,Illiat,46.1881793,4.8883585
168,Injoux-Génissiat,46.0509637,5.8028838
169,Innimond,45.7833704,5.5721971
170,Izenave,46.0383,5.52318
171,Izernore,46.2205657,5.555109
172,Izieu,45.6515,5.64072
173,Jassans-Riottier,45.98514,4.7567624
174,Jasseron,46.2122209,5.3255283
175,Jayat,46.3651,5.12171
176,Journans,46.1443186,5.33034
177,Joyeux,45.9619025,5.0983315
178,Jujurieux,46.039732,5.4089802
179,Labalme,46.0928,5.48367
180,Lagnieu,45.9034952,5.3480192
181,Laiz,46.2463304,4.8924572
182,Le Poizat-Lalleyriat,NaN,NaN
183,Lancrans,46.1252128,5.8324847
184,Lantenay,47.3351085,4.860963
185,Lapeyrouse,45.9830192,4.976012
186,Lavours,45.8097,5.77294
187,Léaz,46.0984,5.88402
188,Lélex,46.3026091,5.9407475
189,Lent,46.1199017,5.194702
190,Lescheroux,46.4071958,5.1448104
191,Leyment,45.9230967,5.2952422
192,Leyssard,46.1563067,5.4761458
193,Lhôpital,46.0216411,5.7787864
194,Lhuis,45.7449106,5.5354509
195,Lochieu,45.93,5.72714
196,Lompnas,45.8029883,5.5201775
197,Lompnieu,45.9606,5.65902
198,Loyettes,45.7739423,5.2053916
199,Lurcy,46.0629811,4.7825203
200,Magnieu,45.7765,5.71829
201,Maillat,46.1285,5.53797
202,Malafretaz,46.3218,5.14516
203,Mantenay-Montlin,46.4233982,5.0992912
204,Manziat,46.3583,4.90649
205,Marboz,46.342804,5.2590787
206,Marchamp,45.7868,5.54209
207,Marignieu,45.797322,5.7209076
208,Marlieux,46.0644464,5.0714969
209,Marsonnas,46.3408621,5.0718348
210,Martignat,46.2097,5.61047
211,Massieux,45.9068,4.8241
212,Massignieu-de-Rives,45.7543,5.76607
213,Matafelon-Granges,NaN,NaN
214,Meillonnas,46.2452372,5.3514812
215,Mérignat,46.0695893,5.4368575
216,Messimy-sur-Saône,46.0490837,4.7650177
217,Meximieux,45.90363,5.1925264
218,Bohas-Meyriat-Rignat,NaN,NaN
219,Mézériat,46.2345899,5.0481173
220,Mijoux,46.3662199,5.9960675
221,Mionnay,45.8948367,4.9311797
222,Miribel,44.9747102,5.6209301
223,Misérieux,45.9742953,4.8112945
224,Mogneneins,46.1392374,4.8116959
225,Montagnat,46.1699,5.28339
226,Montagnieu,45.5247,5.45541
227,Montanges,46.1634744,5.8017403
228,Montceaux,46.096,4.7991
229,Montcet,46.2124,5.11337
230,Le Montellier,45.9305689,5.0731457
231,Monthieux,45.9567069,4.9410766
232,Montluel,45.8498034,5.0568249
233,Montmerle-sur-Saône,46.0840019,4.7614129
234,Montracol,46.1975,5.12351
235,Montréal-la-Cluse,46.1866471,5.5705397
236,Montrevel-en-Bresse,46.3373228,5.130295
237,Nurieux-Volognat,46.186482,5.5268774
238,Murs-et-Gélignieux,NaN,NaN
239,Nantua,46.1534255,5.6058987
240,Neuville-les-Dames,46.1624,5.00366
241,Neuville-sur-Ain,46.0818044,5.3715563
242,Les Neyrolles,46.1416266,5.6328647
243,Neyron,45.814595,4.9318223
244,Niévroz,45.8264,5.0668
245,Nivollet-Montgriffon,NaN,NaN
246,Oncieu,45.9596,5.47499
247,Ordonnaz,45.8374327,5.5391971
248,Ornex,46.2763563,6.0931951
249,Outriaz,46.0667,5.54586
250,Oyonnax,46.2575174,5.6556181
251,Ozan,46.3916424,4.9150895
252,Parcieux,45.9152,4.82419
253,Parves et Nattages,NaN,NaN
254,Péron,46.1896869,5.9244804
255,Péronnas,46.1798475,5.203589
256,Pérouges,45.8616535,5.1718359
257,Perrex,46.2445,4.97978
258,Peyriat,46.1539648,5.5101075
259,Peyrieu,45.6754284,5.677885
260,Peyzieux-sur-Saône,46.1269,4.81662
261,Pirajoux,46.37,5.29817
262,Pizay,45.8887,5.09052
263,Plagne,46.1916,5.72809
264,Le Plantay,46.0221131,5.0890164
265,Polliat,46.2490546,5.1262826
266,Pollieu,45.7996388,5.7420586
267,Poncin,46.0860736,5.4073957
268,Pont-d'Ain,46.052,5.34554
269,Pont-de-Vaux,46.4316899,4.937635
270,Pont-de-Veyle,46.2635,4.88836
271,Port,46.1635975,5.5710285
272,Pougny,46.1390374,5.9509954
273,Pouillat,46.3275019,5.4293371
274,Prémeyzel,45.6824,5.64698
275,Prémillieu,45.874694,5.5713773
276,Prévessin-Moëns,46.257389,6.0873747
277,Priay,46.0032588,5.2897581
278,Ramasse,46.1922,5.35771
279,Rancé,45.9650003,4.8701476
280,Relevant,46.0894,4.94885
281,Replonges,46.3092904,4.8827131
282,Revonnas,46.1618,5.32919
283,Reyrieux,45.9357535,4.8220491
284,Reyssouze,46.4319742,4.9202623
285,Rignieux-le-Franc,45.940261,5.1887843
286,Romans,46.1217852,5.0238916
287,Rossillon,45.831636,5.5936605
288,Ruffieu,45.5731296,5.3015863
289,Saint-Alban,43.6923207,1.4135768
290,Saint-André-de-Bâgé,46.2967054,4.9188897
291,Saint-André-de-Corcy,45.9281426,4.9534729
292,Saint-André-d'Huiriat,46.212964,4.9110272
293,Saint-André-le-Bouchoux,46.1169,5.07772
294,Saint-André-sur-Vieux-Jonc,46.1562285,5.1457722
295,Saint-Bénigne,46.4386,4.97007
296,Groslée-Saint-Benoît,NaN,NaN
297,Saint-Bernard,49.2492195,6.3832157
298,Saint-Champ,45.7747388,5.733065
299,Sainte-Croix,44.7686623,5.2828346
300,Saint-Cyr-sur-Menthon,46.2745312,4.9726409
301,Saint-Denis-lès-Bourg,46.202056,5.1906345
302,Saint-Denis-en-Bugey,45.9518958,5.329016
303,Saint-Didier-d'Aussiat,46.3067025,5.0609115
304,Saint-Didier-de-Formans,45.9561,4.77951
305,Saint-Didier-sur-Chalaronne,46.1828002,4.8146298
306,Saint-Eloi,46.9762234,3.1988805
307,Saint-Etienne-du-Bois,NaN,NaN
308,Saint-Etienne-sur-Chalaronne,NaN,NaN
309,Saint-Etienne-sur-Reyssouze,NaN,NaN
310,Sainte-Euphémie,45.9726012,4.7958364
311,Saint-Genis-Pouilly,46.2440083,6.0253162
312,Saint-Genis-sur-Menthon,46.2714307,5.0211778
313,Saint-Georges-sur-Renon,46.1053,5.03115
314,Saint-Germain-de-Joux,46.1786511,5.7376642
315,Saint-Germain-les-Paroisses,45.7728,5.61718
316,Saint-Germain-sur-Renon,46.0803985,5.0572662
317,Saint-Jean-de-Gonville,46.2120327,5.9514167
318,Saint-Jean-de-Niost,45.8390756,5.2188331
319,Saint-Jean-de-Thurigneux,45.9522053,4.8820059
320,Saint-Jean-le-Vieux,45.21,5.88119
321,Saint-Jean-sur-Reyssouze,46.3967,5.06303
322,Saint-Jean-sur-Veyle,46.2582556,4.9149511
323,Sainte-Julie,45.8896873,5.2780456
324,Saint-Julien-sur-Reyssouze,46.4011949,5.1114877
325,Saint-Julien-sur-Veyle,46.2025514,4.9546414
326,Saint-Just,45.7572026,4.8158642
327,Saint-Laurent-sur-Saône,46.3048,4.84017
328,Saint-Marcel,46.7759424,4.8875645
329,Saint-Martin-de-Bavel,45.8489,5.67611
330,Saint-Martin-du-Frêne,46.135646,5.551392
331,Saint-Martin-du-Mont,46.1009,5.32696
332,Saint-Martin-le-Châtel,46.2824,5.11673
333,Saint-Maurice-de-Beynost,45.8173343,4.9816128
334,Saint-Maurice-de-Gourdans,45.8207025,5.1936266
335,Saint-Maurice-de-Rémens,45.9587,5.27927
336,Saint-Nizier-le-Bouchoux,46.4603,5.15049
337,Saint-Nizier-le-Désert,46.0549022,5.14825
338,Sainte-Olive,46.0188678,4.9315723
339,Saint-Paul-de-Varax,46.0992343,5.1288052
340,Saint-Rambert-en-Bugey,45.948607,5.439958
341,Saint-Rémy,46.7719181,4.8282334
342,Saint-Sorlin-en-Bugey,45.882803,5.3730986
343,Saint-Sulpice,46.32,5.0412
344,Saint-Trivier-de-Courtes,46.4596958,5.080726
345,Saint-Trivier-sur-Moignans,46.071982,4.8979906
346,Saint-Vulbas,45.8306,5.28959
347,Salavre,46.3638,5.3474
348,Samognat,46.2581,5.57559
349,Sandrans,46.0634126,4.9805124
350,Sault-Brénaz,45.8548447,5.4095188
351,Sauverny,46.315442,6.1151126
352,Savigneux,45.6063569,4.0879027
353,Ségny,46.2964559,6.0738412
354,Seillonnaz,45.8066534,5.4902912
355,Sergy,46.2526886,5.9992195
356,Sermoyer,46.4972332,4.9798714
357,Serrières-de-Briord,45.8067,5.45359
358,Serrières-sur-Ain,46.1521,5.4523
359,Servas,46.1324275,5.1650558
360,Servignat,46.4332,5.06896
361,Seyssel,45.9482135,5.8397369
362,Simandre-sur-Suran,46.2237,5.41587
363,Sonthonnax-la-Montagne,46.2324,5.52439
364,Souclin,45.8766052,5.4184355
365,Sulignat,46.1766447,4.9640637
366,Surjoux,46.0239272,5.8030274
367,Sutrieu,45.9499376,5.6577178
368,Talissieu,45.8655579,5.7255578
369,Tenay,45.9182969,5.5089185
370,Thézillieu,45.8933,5.59673
371,Thil,45.8134495,5.022122
372,Thoiry,46.2337403,5.9770947
373,Thoissey,46.1721833,4.8015014
374,Torcieu,45.9214309,5.3966031
375,Tossiat,46.1385,5.31655
376,Toussieux,45.9606007,4.8269239
377,Tramoyes,45.8766132,4.9660316
378,La Tranclière,46.1107,5.26235
379,Val-Revermont,NaN,NaN
380,Trévoux,45.9410123,4.7733198
381,Valeins,46.1122,4.87109
382,Vandeins,46.2158432,5.0787108
383,Varambon,46.039506,5.316386
384,Vaux-en-Bugey,45.9275,5.35393
385,Verjon,46.3463405,5.3506518
386,Vernoux,46.4797948,5.1095136
387,Versailleux,45.9804138,5.1031585
388,Versonnex,46.3005,6.09521
389,Vesancy,46.3478,6.08825
390,Vescours,46.4729,5.02565
391,Vésines,46.3596995,4.866955
392,Vieu-d'Izenave,46.0800702,5.5308516
393,Vieu,45.8983,5.68248
394,Villars-les-Dombes,46.0014072,5.029519
395,Villebois,45.8464,5.43503
396,Villemotier,46.3456369,5.3203936
397,Villeneuve,43.8942967,5.8628971
398,Villereversure,46.185384,5.3827775
399,Villes,46.089198,5.7851152
400,Villette-sur-Ain,45.9878775,5.2690994
401,Villieu-Loyes-Mollon,NaN,NaN
402,Viriat,46.2533181,5.2167876
403,Virieu-le-Grand,45.848139,5.6493313
404,Virieu-le-Petit,45.9083982,5.7247885
405,Virignin,45.7177761,5.7132456
406,Vongnes,45.8152,5.72663
